type,setup,punchline,id
programming,How do you generate a random string?,Put a Windows user in front of Vim and tell them to exit.,405
general,Bad at golf?,Join the club.,79
general,What is a tornado's favorite game to play?,Twister!,240
knock-knock,"Knock knock. 
 Who's there? 
 A broken pencil. 
 A broken pencil who?",Never mind. It's pointless.,11
general,Which side of the chicken has more feathers?,The outside.,295
general,What do you call a laughing motorcycle?,A Yamahahahaha.,20
general,What is a vampire's favorite fruit?,A blood orange.,241
general,What do you call a fly without wings?,A walk.,206
general,How many hipsters does it take to change a lightbulb?,"Oh, it's a really obscure number. You've probably never heard of it.",139
general,Why did the chicken get a penalty?,For fowl play.,318
general,Where did you learn to make ice cream?,Sunday school.,283
general,Did you hear about the guy who invented Lifesavers?,They say he made a mint.,88
general,How do you fix a damaged jack-o-lantern?,You use a pumpkin patch.,123
general,What did the mountain climber name his son?,Cliff.,177
general,What do you call a droid that takes the long way around?,R2 detour.,201
general,What did one snowman say to the other snow man?,Do you smell carrot?,162
general,What did celery say when he broke up with his girlfriend?,"She wasn't right for me, so I really don't carrot all.",158
general,What do birds give out on Halloween?,Tweets.,187
general,What lies at the bottom of the ocean and twitches?,A nervous wreck.,258
general,Want to hear a joke about a piece of paper?,Never mind...it's tearable,39
general,What did the duck say when he bought lipstick?,Put it on my bill,29
general,"Due to complaints, Hawaii passed a law where you're not allowed to laugh above a certain decibel.",You can only use a low ha.,403
general,If you see a robbery at an Apple Store...,Does that make you an iWitness?,41
general,Do you know where you can get chicken broth in bulk?,The stock market.,106
general,What kind of award did the dentist receive?,A little plaque.,250
general,Is there a hole in your shoe?,No… Then how’d you get your foot in it?,147
general,Why couldn't the lifeguard save the hippie?,"He was too far out, man.",311
general,What happens when you anger a brain surgeon?,They will give you a piece of your mind.,237
general,Is the pool safe for diving?,It deep ends.,146
programming,"['hip', 'hip']",(hip hip array),26
general,Why did the burglar hang his mugshot on the wall?,To prove that he was framed!,317
general,What’s the advantage of living in Switzerland?,"Well, the flag is a big plus.",278
general,How do you tell the difference between a crocodile and an alligator?,You will see one later and one in a while.,131
general,Have you heard the rumor going around about butter?,"Never mind, I shouldn't spread it.",111
general,Want to hear a chimney joke?,Got stacks of em! First one's on the house,150
general,What do you do when you see a space man?,"Park your car, man.",227
general,Want to hear a joke about construction?,"Nah, I'm still working on it.",151
programming,Knock-knock.,A race condition. Who is there?,362
general,How many optometrists does it take to change a light bulb?,1 or 2? 1... or 2?,141
general,Who is the coolest Doctor in the hospital?,The hip Doctor!,297
general,How do you get a baby alien to sleep?,You rocket.,124
general,What does the mermaid wear to math class?,Algae-bra.,393
general,A ham sandwhich walks into a bar and orders a beer. The bartender says...,"I'm sorry, we don't serve food here",42
knock-knock,"Knock knock. 
 Who's there? 
 Little old lady. 
 Little old lady who?",I didn't know you could yodel!,13
general,Why did the opera singer go sailing?,They wanted to hit the high Cs.,332
general,What do you do on a remote island?,Try and find the TV island it belongs to.,226
general,What do you call a pig that knows karate?,A pork chop!,212
general,Why can't bicycles stand on their own?,They are two tired,5
programming,Lady: How do I spread love in this cruel world?,Random Dude: [...💘],58
general,What does a clock do when it's hungry?,It goes back four seconds!,234
programming,Where do programmers like to hangout?,The Foo Bar.,17
general,What was a more important invention than the first telephone?,The second one.,262
general,What do you call a belt made out of watches?,A waist of time.,4
general,Why was the developer always calm?,Because they knew how to handle exceptions.,442
general,What do you call a cow on a trampoline?,A milk shake!,195
general,Why do mathematicians hate the U.S.?,Because it's indivisible.,348
programming,Which song would an exception sing?,Can't catch me - Avicii,32
general,What's Forrest Gump's password?,1Forrest1,3
general,Why are mummys scared of vacation?,They're afraid to unwind.,302
general,What do you call an old snowman?,Water.,221
general,Why did the melons plan a big wedding?,Because they cantaloupe!,330
general,How do the trees get on the internet?,They log on.,120
general,Why did the scarecrow win an award?,Because he was outstanding in his field.,430
general,Why do bananas have to put on sunscreen before they go to the beach?,Because they might peel!,340
general,Did you hear about the Viking who was reincarnated?,He was Bjorn again,392
general,What's the best thing about Switzerland?,"I don't know, but their flag is a big plus.",426
general,What do you call an alligator in a vest?,An in-vest-igator!,217
general,What do you call a bear with no teeth?,A gummy bear!,191
general,Where do bees go to the bathroom?,The BP station.,284
general,When do doctors get angry?,When they run out of patients.,280
general,What's blue and not very heavy?,Light blue.,265
general,What do you call a crowd of chess players bragging about their wins in a hotel lobby?,Chess nuts boasting in an open foyer.,197
general,Did you hear about the bread factory burning down?,They say the business is toast.,84
general,Did you hear about the Mexican train killer?,He had loco motives,91
general,Why couldn't the bicycle stand up by itself?,It was two-tired.,421
general,Did you know that protons have mass?,I didn't even know they were catholic.,103
